
 ----------------------------------------------

    SimVascular Fluid-Structure Interaction
                  (svFSI v8)

 ----------------------------------------------

 This program comes with ABSOLUTELY NO WARRANTY
 Compiled on 02-23-2019

 Running in parallel with 24 tasks
 Number of meshes: 1
 Reading mesh <msh>
 <VTK XML Parser> Loading file <../../mesh/Q1_h0.05/mesh-complete.mesh.vtu>
 Checking IEN array structure for mesh <msh>
 Make sure nodes in elements are arranged 1-4 on
      one face and 5-8 on the opposite face
 Number of available faces: 6
 <VTK XML Parser> Loading file <../../mesh/Q1_h0.05/mesh-surfaces/X0.vtp>
 <VTK XML Parser> Loading file <../../mesh/Q1_h0.05/mesh-surfaces/X1sym.vtp>
 <VTK XML Parser> Loading file <../../mesh/Q1_h0.05/mesh-surfaces/Y0.vtp>
 <VTK XML Parser> Loading file <../../mesh/Q1_h0.05/mesh-surfaces/Y1sym.vtp>
 <VTK XML Parser> Loading file <../../mesh/Q1_h0.05/mesh-surfaces/Z0.vtp>
 <VTK XML Parser> Loading file <../../mesh/Q1_h0.05/mesh-surfaces/Z1.vtp>
 Number of nodes: 18786
 Number of elements: 15000
 Loading fiber directions
 Mesh data imported successfully
 Domain size X: 0.000000 1.500000
 Domain size Y: 0.000000 2.500E-1
 Domain size Z: 0.000000 5.000000
 Number of equations: 1
 Using preconditioner: Trilinos-ILUT
 Number of imposed BC for equation <vms_struct>: 5
 Configuration is completed successfully
 ParMETIS partitioned the mesh by cutting 2773 elements
 Constructing stiffness matrix sparse structure
 Total number of non-zeros in the LHS matrix: 465966
 Initializing state variables to zero
 Volume of domain 1.874999
 Area of face <X0> is 1.249999
 Area of face <X1s> is 1.250000
 Area of face <Y0> is 7.500000
 Area of face <Y1s> is 7.500000
 Area of face <Z0> is 3.749E-1
 Area of face <Z1> is 3.749E-1

----------------------------------------------------------
Eq     N-i     T      dB   Ri/R0    R/Ri     lsIt  dB  %t
----------------------------------------------------------
 New time step size: 1.000E-4
ST  2658-1  1.12E4  [   0 5.93E-2 9.96E-7]  [  79 -24  87]
ST  2658-2  1.12E4  [ -73 1.22E-5 9.94E-7]  [  97 -58  88]
ST  2658-3  1.12E4  [-187 2.6E-11 9.93E-7]  [ 113 -11  91]
ST  2659-1  1.12E4  [   0 5.93E-2 9.96E-7]  [  79 -24  87]
ST  2659-2  1.12E4  [ -73 1.22E-5 9.96E-7]  [  98 -58  88]
ST  2659-3  1.12E4  [-187 2.5E-11 9.07E-7]  [ 111  -8  91]
ST  2660-1  1.12E4  [   0 5.93E-2 9.98E-7]  [  79 -24  87]
ST  2660-2  1.12E4  [ -73 1.22E-5 9.69E-7]  [  98 -58  88]
ST  2660-3s 1.12E4  [-187 2.5E-11 9.68E-7]  [ 116 -10  91]
ST  2661-1  1.12E4  [   0 5.92E-2 9.95E-7]  [  79 -24  49]
ST  2661-2  1.12E4  [ -73 1.22E-5 9.89E-7]  [  97 -58  88]
ST  2661-3  1.12E4  [-187 2.5E-11 9.55E-7]  [ 116 -11  92]
ST  2662-1  1.12E4  [   0 5.92E-2 9.50E-7]  [  80 -24  87]
ST  2662-2  1.12E4  [ -73 1.22E-5 9.69E-7]  [  98 -58  88]
ST  2662-3  1.12E4  [-187 2.4E-11 9.93E-7]  [ 112 -10  91]
ST  2663-1  1.12E4  [   0 5.92E-2 9.50E-7]  [  80 -24  87]
ST  2663-2  1.12E4  [ -73 1.22E-5 9.60E-7]  [  98 -58  88]
ST  2663-3  1.12E4  [-187 2.5E-11 9.49E-7]  [ 113 -10  91]
ST  2664-1  1.12E4  [   0 5.92E-2 9.52E-7]  [  80 -24  87]
ST  2664-2  1.12E4  [ -73 1.22E-5 9.64E-7]  [  99 -58  88]
ST  2664-3  1.12E4  [-187 2.6E-11 9.03E-7]  [ 112  -4  91]
ST  2665-1  1.12E4  [   0 5.92E-2 9.98E-7]  [  79 -24  87]
ST  2665-2  1.12E4  [ -73 1.22E-5 9.78E-7]  [  99 -58  88]
ST  2665-3  1.12E4  [-187 2.5E-11 9.06E-7]  [ 113  -5  91]
ST  2666-1  1.12E4  [   0 5.92E-2 9.98E-7]  [  79 -24  87]
ST  2666-2  1.12E4  [ -73 1.21E-5 9.83E-7]  [  99 -58  88]
ST  2666-3  1.12E4  [-187 2.5E-11 9.45E-7]  [ 112  -4  91]
ST  2667-1  1.12E4  [   0 5.92E-2 9.97E-7]  [  79 -24  87]
ST  2667-2  1.12E4  [ -73 1.21E-5 9.90E-7]  [  98 -58  88]
ST  2667-3  1.13E4  [-187 2.5E-11 9.76E-7]  [ 111  -9  91]
ST  2668-1  1.13E4  [   0 5.91E-2 9.96E-7]  [  79 -24  87]
ST  2668-2  1.13E4  [ -73 1.21E-5 9.69E-7]  [  97 -58  88]
ST  2668-3  1.13E4  [-187 2.5E-11 9.07E-7]  [ 112 -11  92]
ST  2669-1  1.13E4  [   0 5.91E-2 9.96E-7]  [  79 -24  87]
ST  2669-2  1.13E4  [ -73 1.21E-5 9.88E-7]  [  98 -58  88]
ST  2669-3  1.13E4  [-187 2.5E-11 8.67E-7]  [ 113 -11  91]
ST  2670-1  1.13E4  [   0 5.91E-2 9.98E-7]  [  79 -24  87]
ST  2670-2  1.13E4  [ -73 1.21E-5 9.76E-7]  [  98 -58  88]
ST  2670-3s 1.13E4  [-187 2.5E-11 9.48E-7]  [ 113 -10  91]
ST  2671-1  1.13E4  [   0 5.91E-2 9.51E-7]  [  80 -24  49]
ST  2671-2  1.13E4  [ -73 1.21E-5 9.63E-7]  [  99 -58  88]
ST  2671-3  1.13E4  [-187 2.5E-11 9.99E-7]  [  97 -64  88]
ST  2672-1  1.13E4  [   0 5.91E-2 9.95E-7]  [  79 -24  87]
ST  2672-2  1.13E4  [ -73 1.21E-5 9.66E-7]  [  99 -58  88]
ST  2672-3  1.13E4  [-187 2.5E-11 9.33E-7]  [ 112  -4  91]
ST  2673-1  1.13E4  [   0 5.91E-2 9.54E-7]  [  80 -24  87]
ST  2673-2  1.13E4  [ -73 1.21E-5 9.59E-7]  [  99 -58  88]
ST  2673-3  1.13E4  [-187 2.5E-11 9.92E-7]  [ 113  -5  91]
ST  2674-1  1.13E4  [   0 5.91E-2 9.98E-7]  [  79 -24  87]
ST  2674-2  1.13E4  [ -73 1.21E-5 9.95E-7]  [  98 -58  88]
ST  2674-3  1.13E4  [-187 2.5E-11 9.26E-7]  [ 113 -10  91]
ST  2675-1  1.13E4  [   0 5.90E-2 9.96E-7]  [  79 -24  87]
ST  2675-2  1.13E4  [ -73 1.21E-5 9.73E-7]  [  98 -58  88]
ST  2675-3  1.13E4  [-187 2.6E-11 9.67E-7]  [ 113 -10  92]
ST  2676-1  1.13E4  [   0 5.90E-2 9.99E-7]  [  79 -24  87]
ST  2676-2  1.13E4  [ -73 1.21E-5 9.78E-7]  [  99 -58  88]
ST  2676-3  1.13E4  [-187 2.5E-11 9.75E-7]  [ 112  -5  91]
ST  2677-1  1.13E4  [   0 5.90E-2 9.52E-7]  [  80 -24  87]
ST  2677-2  1.13E4  [ -73 1.21E-5 9.69E-7]  [  98 -58  88]
ST  2677-3  1.13E4  [-187 2.5E-11 9.15E-7]  [ 114 -11  91]
ST  2678-1  1.13E4  [   0 5.90E-2 9.52E-7]  [  80 -24  87]
ST  2678-2  1.13E4  [ -73 1.21E-5 9.66E-7]  [  99 -58  88]
ST  2678-3  1.13E4  [-187 2.5E-11 9.15E-7]  [ 113  -6  91]
ST  2679-1  1.13E4  [   0 5.90E-2 9.99E-7]  [  79 -24  87]
ST  2679-2  1.13E4  [ -73 1.21E-5 9.72E-7]  [  99 -58  88]
ST  2679-3  1.13E4  [-187 2.5E-11 8.94E-7]  [  95 -65  88]
ST  2680-1  1.13E4  [   0 5.90E-2 9.53E-7]  [  80 -24  87]
ST  2680-2  1.13E4  [ -73 1.21E-5 9.79E-7]  [  99 -58  88]
ST  2680-3s 1.13E4  [-187 2.6E-11 9.68E-7]  [ 112  -5  91]
ST  2681-1  1.13E4  [   0 5.90E-2 9.51E-7]  [  80 -24  49]
ST  2681-2  1.13E4  [ -73 1.21E-5 9.78E-7]  [  98 -58  89]
ST  2681-3  1.13E4  [-187 2.6E-11 9.63E-7]  [ 110  -8  91]
ST  2682-1  1.13E4  [   0 5.90E-2 9.96E-7]  [  79 -24  87]
ST  2682-2  1.13E4  [ -73 1.20E-5 9.89E-7]  [  99 -58  88]
ST  2682-3  1.13E4  [-187 2.5E-11 9.98E-7]  [ 104   0  92]
ST  2683-1  1.13E4  [   0 5.89E-2 9.53E-7]  [  80 -24  87]
ST  2683-2  1.13E4  [ -73 1.20E-5 9.81E-7]  [  99 -58  88]
ST  2683-3  1.13E4  [-187 2.4E-11 8.87E-7]  [  96 -66  88]
ST  2684-1  1.13E4  [   0 5.89E-2 9.53E-7]  [  80 -24  87]
ST  2684-2  1.13E4  [ -73 1.20E-5 9.85E-7]  [ 100 -58  88]
ST  2684-3  1.13E4  [-187 2.5E-11 8.73E-7]  [  97 -69  88]
ST  2685-1  1.13E4  [   0 5.89E-2 9.50E-7]  [  80 -24  87]
ST  2685-2  1.13E4  [ -73 1.20E-5 9.80E-7]  [  99 -58  88]
ST  2685-3  1.13E4  [-187 2.5E-11 9.19E-7]  [  97 -65  88]
ST  2686-1  1.13E4  [   0 5.89E-2 9.50E-7]  [  80 -24  87]
ST  2686-2  1.13E4  [ -73 1.20E-5 9.85E-7]  [  99 -58  88]
ST  2686-3  1.13E4  [-187 2.5E-11 9.99E-7]  [  94 -65  88]
ST  2687-1  1.13E4  [   0 5.89E-2 9.53E-7]  [  80 -24  87]
ST  2687-2  1.13E4  [ -73 1.20E-5 9.72E-7]  [  98 -58  88]
ST  2687-3  1.13E4  [-187 2.5E-11 9.67E-7]  [ 113 -10  91]
ST  2688-1  1.13E4  [   0 5.89E-2 9.49E-7]  [  80 -24  87]
ST  2688-2  1.13E4  [ -73 1.20E-5 9.81E-7]  [  99 -58  88]
ST  2688-3  1.13E4  [-187 2.5E-11 9.16E-7]  [ 113  -6  91]
ST  2689-1  1.13E4  [   0 5.89E-2 9.54E-7]  [  80 -24  87]
ST  2689-2  1.13E4  [ -73 1.20E-5 9.59E-7]  [ 100 -58  88]
ST  2689-3  1.13E4  [-187 2.5E-11 9.36E-7]  [ 114  -6  91]
ST  2690-1  1.13E4  [   0 5.88E-2 9.52E-7]  [  80 -24  87]
ST  2690-2  1.13E4  [ -73 1.20E-5 9.59E-7]  [  98 -58  89]
ST  2690-3s 1.13E4  [-187 2.5E-11 9.37E-7]  [ 112 -10  91]
ST  2691-1  1.13E4  [   0 5.88E-2 9.55E-7]  [  80 -24  49]
ST  2691-2  1.13E4  [ -73 1.20E-5 9.77E-7]  [  98 -58  88]
ST  2691-3  1.14E4  [-187 2.5E-11 9.65E-7]  [ 112 -10  91]
ST  2692-1  1.14E4  [   0 5.88E-2 9.98E-7]  [  79 -23  87]
ST  2692-2  1.14E4  [ -73 1.20E-5 9.97E-7]  [  98 -58  88]
ST  2692-3  1.14E4  [-187 2.5E-11 8.52E-7]  [ 113 -10  91]
ST  2693-1  1.14E4  [   0 5.88E-2 9.57E-7]  [  80 -24  87]
ST  2693-2  1.14E4  [ -73 1.20E-5 9.59E-7]  [  99 -58  88]
ST  2693-3  1.14E4  [-187 2.5E-11 9.22E-7]  [ 113  -6  91]
ST  2694-1  1.14E4  [   0 5.88E-2 9.55E-7]  [  80 -24  87]
ST  2694-2  1.14E4  [ -73 1.20E-5 9.76E-7]  [  98 -58  88]
ST  2694-3  1.14E4  [-187 2.5E-11 9.01E-7]  [ 112  -9  91]
ST  2695-1  1.14E4  [   0 5.88E-2 9.58E-7]  [  80 -24  87]
ST  2695-2  1.14E4  [ -73 1.20E-5 9.83E-7]  [  99 -58  88]
ST  2695-3  1.14E4  [-187 2.5E-11 8.32E-7]  [ 112  -5  91]
ST  2696-1  1.14E4  [   0 5.88E-2 9.53E-7]  [  80 -24  87]
ST  2696-2  1.14E4  [ -73 1.20E-5 9.62E-7]  [ 100 -58  88]
ST  2696-3  1.14E4  [-187 2.5E-11 9.16E-7]  [ 116  -9  91]
ST  2697-1  1.14E4  [   0 5.88E-2 9.56E-7]  [  80 -24  87]
ST  2697-2  1.14E4  [ -73 1.20E-5 9.84E-7]  [  99 -58  90]
ST  2697-3  1.14E4  [-187 2.5E-11 9.35E-7]  [ 113  -5  91]
ST  2698-1  1.14E4  [   0 5.87E-2 9.58E-7]  [  80 -24  87]
ST  2698-2  1.14E4  [ -73 1.19E-5 9.88E-7]  [  99 -58  88]
ST  2698-3  1.14E4  [-187 2.5E-11 9.27E-7]  [ 113  -5  91]
ST  2699-1  1.14E4  [   0 5.87E-2 9.56E-7]  [  80 -24  87]
ST  2699-2  1.14E4  [ -73 1.19E-5 9.69E-7]  [  99 -58  88]
ST  2699-3  1.14E4  [-187 2.5E-11 9.48E-7]  [  98 -64  88]
ST  2700-1  1.14E4  [   0 5.87E-2 9.55E-7]  [  80 -24  87]
ST  2700-2  1.14E4  [ -73 1.19E-5 9.73E-7]  [  99 -58  88]
ST  2700-3s 1.14E4  [-187 2.5E-11 9.37E-7]  [ 112  -4  91]
ST  2701-1  1.14E4  [   0 5.87E-2 9.56E-7]  [  80 -24  49]
ST  2701-2  1.14E4  [ -73 1.19E-5 9.71E-7]  [  99 -58  88]
ST  2701-3  1.14E4  [-187 2.5E-11 9.35E-7]  [ 112  -3  91]
ST  2702-1  1.14E4  [   0 5.87E-2 9.59E-7]  [  80 -24  87]
ST  2702-2  1.14E4  [ -73 1.19E-5 9.75E-7]  [  99 -58  88]
ST  2702-3  1.14E4  [-187 2.5E-11 9.64E-7]  [  98 -64  88]
ST  2703-1  1.14E4  [   0 5.87E-2 9.60E-7]  [  80 -24  87]
ST  2703-2  1.14E4  [ -73 1.19E-5 9.92E-7]  [  97 -58  88]
ST  2703-3  1.14E4  [-186 2.7E-11 9.47E-7]  [ 114 -11  91]
ST  2704-1  1.14E4  [   0 5.87E-2 9.63E-7]  [  80 -24  87]
ST  2704-2  1.14E4  [ -73 1.19E-5 9.73E-7]  [  98 -58  90]
ST  2704-3  1.14E4  [-187 2.5E-11 9.36E-7]  [ 115 -10  91]
ST  2705-1  1.14E4  [   0 5.86E-2 9.61E-7]  [  80 -24  87]
ST  2705-2  1.14E4  [ -73 1.19E-5 9.96E-7]  [  97 -57  88]
ST  2705-3  1.14E4  [-187 2.5E-11 9.59E-7]  [ 113 -11  91]
ST  2706-1  1.14E4  [   0 5.86E-2 9.63E-7]  [  80 -24  87]
ST  2706-2  1.14E4  [ -73 1.19E-5 9.89E-7]  [  98 -58  88]
ST  2706-3  1.14E4  [-187 2.6E-11 9.04E-7]  [ 108  -6  91]
ST  2707-1  1.14E4  [   0 5.86E-2 9.58E-7]  [  80 -24  87]
ST  2707-2  1.14E4  [ -73 1.19E-5 9.68E-7]  [  99 -58  88]
ST  2707-3  1.14E4  [-186 2.8E-11 9.23E-7]  [ 113  -7  91]
ST  2708-1  1.14E4  [   0 5.86E-2 9.59E-7]  [  80 -24  87]
ST  2708-2  1.14E4  [ -73 1.19E-5 9.92E-7]  [  99 -58  88]
ST  2708-3  1.14E4  [-187 2.5E-11 9.15E-7]  [ 113  -7  91]
ST  2709-1  1.14E4  [   0 5.86E-2 9.60E-7]  [  80 -24  87]
ST  2709-2  1.14E4  [ -73 1.19E-5 9.98E-7]  [  97 -57  88]
ST  2709-3  1.14E4  [-187 2.5E-11 9.74E-7]  [ 113 -11  91]
ST  2710-1  1.14E4  [   0 5.86E-2 9.58E-7]  [  80 -24  87]
ST  2710-2  1.14E4  [ -73 1.19E-5 9.77E-7]  [  98 -58  88]
ST  2710-3s 1.14E4  [-187 2.5E-11 9.20E-7]  [ 113 -10  89]
ST  2711-1  1.14E4  [   0 5.86E-2 9.62E-7]  [  80 -24  49]
ST  2711-2  1.14E4  [ -73 1.19E-5 9.70E-7]  [  99 -58  90]
ST  2711-3  1.14E4  [-187 2.5E-11 9.99E-7]  [ 102 -64  88]
ST  2712-1  1.14E4  [   0 5.86E-2 9.62E-7]  [  80 -24  87]
ST  2712-2  1.14E4  [ -73 1.19E-5 9.78E-7]  [  99 -58  88]
ST  2712-3  1.14E4  [-187 2.5E-11 8.75E-7]  [ 113  -6  91]
ST  2713-1  1.14E4  [   0 5.85E-2 9.66E-7]  [  80 -24  87]
ST  2713-2  1.14E4  [ -73 1.19E-5 9.72E-7]  [  99 -58  88]
ST  2713-3  1.14E4  [-187 2.5E-11 9.06E-7]  [ 112  -4  91]
ST  2714-1  1.14E4  [   0 5.85E-2 9.63E-7]  [  80 -24  87]
ST  2714-2  1.14E4  [ -73 1.18E-5 9.70E-7]  [  99 -58  88]
ST  2714-3  1.14E4  [-186 2.6E-11 9.45E-7]  [ 112  -3  91]
ST  2715-1  1.15E4  [   0 5.85E-2 9.63E-7]  [  80 -24  87]
ST  2715-2  1.15E4  [ -73 1.18E-5 9.58E-7]  [ 100 -58  88]
ST  2715-3  1.15E4  [-187 2.5E-11 9.13E-7]  [ 114  -7  91]
ST  2716-1  1.15E4  [   0 5.85E-2 9.63E-7]  [  80 -24  87]
ST  2716-2  1.15E4  [ -73 1.18E-5 9.88E-7]  [  98 -58  88]
ST  2716-3  1.15E4  [-187 2.5E-11 9.26E-7]  [ 109  -7  91]
ST  2717-1  1.15E4  [   0 5.85E-2 9.60E-7]  [  80 -24  87]
ST  2717-2  1.15E4  [ -73 1.18E-5 9.72E-7]  [  99 -58  88]
ST  2717-3  1.15E4  [-187 2.5E-11 9.74E-7]  [ 112  -5  91]
ST  2718-1  1.15E4  [   0 5.85E-2 9.62E-7]  [  80 -24  87]
ST  2718-2  1.15E4  [ -73 1.18E-5 9.61E-7]  [  99 -58  88]
ST  2718-3  1.15E4  [-187 2.5E-11 9.77E-7]  [  98 -64  89]
ST  2719-1  1.15E4  [   0 5.85E-2 9.62E-7]  [  80 -24  87]
ST  2719-2  1.15E4  [ -73 1.18E-5 9.70E-7]  [  99 -58  88]
ST  2719-3  1.15E4  [-187 2.5E-11 9.99E-7]  [ 108  -1  91]
ST  2720-1  1.15E4  [   0 5.85E-2 9.63E-7]  [  80 -24  87]
ST  2720-2  1.15E4  [ -73 1.18E-5 9.75E-7]  [  99 -58  88]
ST  2720-3s 1.15E4  [-187 2.5E-11 9.64E-7]  [  97 -65  88]
ST  2721-1  1.15E4  [   0 5.84E-2 9.63E-7]  [  80 -24  48]
ST  2721-2  1.15E4  [ -73 1.18E-5 9.91E-7]  [  98 -58  88]
ST  2721-3  1.15E4  [-186 2.6E-11 9.12E-7]  [ 111  -8  91]
ST  2722-1  1.15E4  [   0 5.84E-2 9.61E-7]  [  80 -24  87]
ST  2722-2  1.15E4  [ -73 1.18E-5 9.77E-7]  [  99 -58  88]
ST  2722-3  1.15E4  [-187 2.5E-11 9.91E-7]  [ 101 -64  88]
ST  2723-1  1.15E4  [   0 5.84E-2 9.62E-7]  [  80 -24  87]
ST  2723-2  1.15E4  [ -73 1.18E-5 9.91E-7]  [  99 -58  88]
ST  2723-3  1.15E4  [-187 2.5E-11 8.93E-7]  [  95 -65  88]
ST  2724-1  1.15E4  [   0 5.84E-2 9.62E-7]  [  80 -24  87]
ST  2724-2  1.15E4  [ -73 1.18E-5 9.80E-7]  [  99 -58  88]
ST  2724-3  1.15E4  [-186 2.8E-11 8.91E-7]  [ 112  -4  91]
ST  2725-1  1.15E4  [   0 5.84E-2 9.62E-7]  [  80 -24  87]
ST  2725-2  1.15E4  [ -73 1.18E-5 9.79E-7]  [  99 -58  88]
ST  2725-3  1.15E4  [-187 2.5E-11 9.22E-7]  [ 112  -5  91]
ST  2726-1  1.15E4  [   0 5.84E-2 9.58E-7]  [  80 -24  75]
ST  2726-2  1.15E4  [ -73 1.18E-5 9.79E-7]  [  98 -58  89]
ST  2726-3  1.15E4  [-186 2.6E-11 9.86E-7]  [ 111  -8  91]
ST  2727-1  1.15E4  [   0 5.84E-2 9.60E-7]  [  80 -24  87]
ST  2727-2  1.15E4  [ -73 1.18E-5 9.76E-7]  [  98 -58  88]
ST  2727-3  1.15E4  [-187 2.5E-11 9.64E-7]  [ 108  -6  91]
ST  2728-1  1.15E4  [   0 5.83E-2 9.62E-7]  [  80 -24  87]
ST  2728-2  1.15E4  [ -73 1.18E-5 9.90E-7]  [  98 -58  88]
ST  2728-3  1.15E4  [-187 2.5E-11 9.41E-7]  [ 111  -9  91]
ST  2729-1  1.15E4  [   0 5.83E-2 9.64E-7]  [  80 -24  87]
ST  2729-2  1.15E4  [ -73 1.18E-5 9.75E-7]  [  99 -58  88]
ST  2729-3  1.15E4  [-187 2.5E-11 8.92E-7]  [ 113  -5  91]
ST  2730-1  1.15E4  [   0 5.83E-2 9.59E-7]  [  80 -24  87]
ST  2730-2  1.15E4  [ -73 1.17E-5 9.75E-7]  [  98 -58  88]
ST  2730-3s 1.15E4  [-187 2.5E-11 9.74E-7]  [ 111  -9  91]
ST  2731-1  1.15E4  [   0 5.83E-2 9.61E-7]  [  80 -24  48]
ST  2731-2  1.15E4  [ -73 1.17E-5 9.94E-7]  [  97 -58  88]
ST  2731-3  1.15E4  [-187 2.6E-11 9.12E-7]  [ 113 -11  91]
ST  2732-1  1.15E4  [   0 5.83E-2 9.63E-7]  [  80 -24  87]
ST  2732-2  1.15E4  [ -73 1.17E-5 9.66E-7]  [  98 -58  88]
ST  2732-3  1.15E4  [-186 2.6E-11 9.32E-7]  [ 109  -8  92]
ST  2733-1  1.15E4  [   0 5.83E-2 9.63E-7]  [  80 -24  87]
ST  2733-2  1.15E4  [ -73 1.17E-5 9.68E-7]  [  98 -58  88]
ST  2733-3  1.15E4  [-187 2.5E-11 9.29E-7]  [ 113 -10  91]
ST  2734-1  1.15E4  [   0 5.83E-2 9.64E-7]  [  80 -24  87]
ST  2734-2  1.15E4  [ -73 1.17E-5 9.63E-7]  [  99 -58  88]
ST  2734-3  1.15E4  [-186 2.6E-11 9.87E-7]  [  94 -64  88]
ST  2735-1  1.15E4  [   0 5.83E-2 9.65E-7]  [  80 -24  87]
ST  2735-2  1.15E4  [ -73 1.17E-5 9.67E-7]  [  97 -58  88]
ST  2735-3  1.15E4  [-187 2.6E-11 9.94E-7]  [ 112 -10  91]
ST  2736-1  1.15E4  [   0 5.82E-2 9.61E-7]  [  80 -24  87]
ST  2736-2  1.15E4  [ -73 1.17E-5 9.78E-7]  [  98 -58  88]
ST  2736-3  1.15E4  [-187 2.5E-11 9.54E-7]  [ 110  -8  91]
ST  2737-1  1.15E4  [   0 5.82E-2 9.61E-7]  [  80 -24  87]
ST  2737-2  1.15E4  [ -73 1.17E-5 9.62E-7]  [  99 -58  88]
ST  2737-3  1.15E4  [-187 2.5E-11 8.75E-7]  [ 113  -6  91]
ST  2738-1  1.15E4  [   0 5.82E-2 9.65E-7]  [  80 -24  87]
ST  2738-2  1.15E4  [ -73 1.17E-5 9.83E-7]  [  99 -58  88]
ST  2738-3  1.15E4  [-186 2.6E-11 9.67E-7]  [ 108  -2  91]
ST  2739-1  1.16E4  [   0 5.82E-2 9.65E-7]  [  80 -24  87]
ST  2739-2  1.16E4  [ -73 1.17E-5 9.84E-7]  [  98 -58  88]
ST  2739-3  1.16E4  [-187 2.5E-11 9.50E-7]  [ 108  -6  91]
ST  2740-1  1.16E4  [   0 5.82E-2 9.62E-7]  [  80 -24  89]
ST  2740-2  1.16E4  [ -73 1.17E-5 9.63E-7]  [  99 -58  88]
ST  2740-3s 1.16E4  [-187 2.5E-11 9.42E-7]  [ 110  -3  91]
ST  2741-1  1.16E4  [   0 5.82E-2 9.66E-7]  [  80 -24  49]
ST  2741-2  1.16E4  [ -73 1.17E-5 9.67E-7]  [  98 -58  88]
ST  2741-3  1.16E4  [-187 2.5E-11 9.53E-7]  [ 112 -10  91]
ST  2742-1  1.16E4  [   0 5.82E-2 9.66E-7]  [  80 -24  87]
ST  2742-2  1.16E4  [ -73 1.17E-5 9.91E-7]  [  99 -58  88]
ST  2742-3  1.16E4  [-186 2.6E-11 9.00E-7]  [ 113  -5  91]
ST  2743-1  1.16E4  [   0 5.82E-2 9.70E-7]  [  80 -24  87]
ST  2743-2  1.16E4  [ -73 1.17E-5 9.74E-7]  [  99 -58  88]
ST  2743-3  1.16E4  [-187 2.5E-11 9.78E-7]  [  98 -64  88]
ST  2744-1  1.16E4  [   0 5.81E-2 9.63E-7]  [  80 -24  87]
ST  2744-2  1.16E4  [ -73 1.17E-5 9.63E-7]  [  99 -58  88]
ST  2744-3  1.16E4  [-187 2.5E-11 8.52E-7]  [  96 -65  88]
ST  2745-1  1.16E4  [   0 5.81E-2 9.67E-7]  [  80 -24  87]
ST  2745-2  1.16E4  [ -73 1.17E-5 9.82E-7]  [  97 -58  88]
ST  2745-3  1.16E4  [-187 2.5E-11 8.67E-7]  [ 112 -11  91]
ST  2746-1  1.16E4  [   0 5.81E-2 9.73E-7]  [  80 -24  87]
ST  2746-2  1.16E4  [ -73 1.17E-5 9.90E-7]  [  98 -58  88]
ST  2746-3  1.16E4  [-186 2.6E-11 9.95E-7]  [ 111  -8  91]
ST  2747-1  1.16E4  [   0 5.81E-2 9.67E-7]  [  80 -24  87]
ST  2747-2  1.16E4  [ -73 1.16E-5 9.69E-7]  [  98 -58  89]
ST  2747-3  1.16E4  [-187 2.5E-11 8.43E-7]  [ 111  -9  91]
ST  2748-1  1.16E4  [   0 5.81E-2 9.63E-7]  [  80 -24  87]
ST  2748-2  1.16E4  [ -73 1.16E-5 9.86E-7]  [  98 -58  88]
ST  2748-3  1.16E4  [-187 2.5E-11 8.86E-7]  [ 110  -8  89]
ST  2749-1  1.16E4  [   0 5.81E-2 9.63E-7]  [  80 -24  87]
ST  2749-2  1.16E4  [ -73 1.16E-5 9.83E-7]  [  99 -58  88]
ST  2749-3  1.16E4  [-187 2.5E-11 9.34E-7]  [  98 -65  88]
ST  2750-1  1.16E4  [   0 5.81E-2 9.67E-7]  [  80 -24  87]
ST  2750-2  1.16E4  [ -73 1.16E-5 9.94E-7]  [  97 -58  88]
ST  2750-3s 1.16E4  [-186 2.6E-11 9.85E-7]  [ 111 -10  91]
ST  2751-1  1.16E4  [   0 5.81E-2 9.65E-7]  [  80 -24  48]
ST  2751-2  1.16E4  [ -73 1.16E-5 9.81E-7]  [  99 -58  88]
ST  2751-3  1.16E4  [-187 2.5E-11 9.75E-7]  [  99 -64  88]
ST  2752-1  1.16E4  [   0 5.80E-2 9.73E-7]  [  80 -24  87]
ST  2752-2  1.16E4  [ -73 1.16E-5 9.80E-7]  [  98 -58  88]
ST  2752-3  1.16E4  [-187 2.5E-11 9.62E-7]  [ 110  -8  91]
ST  2753-1  1.16E4  [   0 5.80E-2 9.69E-7]  [  80 -24  87]
ST  2753-2  1.16E4  [ -73 1.16E-5 9.99E-7]  [  98 -57  88]
ST  2753-3  1.16E4  [-186 2.6E-11 9.60E-7]  [ 110  -7  91]
ST  2754-1  1.16E4  [   0 5.80E-2 9.69E-7]  [  80 -24  87]
ST  2754-2  1.16E4  [ -73 1.16E-5 9.78E-7]  [  99 -58  90]
ST  2754-3  1.16E4  [-186 2.5E-11 9.75E-7]  [  96 -63  88]
ST  2755-1  1.16E4  [   0 5.80E-2 9.68E-7]  [  80 -24  87]
ST  2755-2  1.16E4  [ -73 1.16E-5 9.79E-7]  [  97 -58  88]
ST  2755-3  1.16E4  [-187 2.5E-11 9.86E-7]  [ 112 -10  91]
ST  2756-1  1.16E4  [   0 5.80E-2 9.68E-7]  [  80 -24  87]
ST  2756-2  1.16E4  [ -73 1.16E-5 9.89E-7]  [  96 -58  88]
ST  2756-3  1.16E4  [-187 2.5E-11 9.88E-7]  [ 114 -10  91]
ST  2757-1  1.16E4  [   0 5.80E-2 9.71E-7]  [  80 -24  87]
